,quarter,revenue
0,"Mar 31, 2023",1.55
1,"Dec 31, 2022",1.46
2,"Sep 30, 2022",1.25
3,"Jun 30, 2022",1.36
4,"Mar 31, 2022",1.3
5,"Dec 31, 2021",1.33
6,"Sep 30, 2021",1.24
7,"Jun 30, 2021",1.23
8,"Mar 31, 2021",1.19
9,"Dec 31, 2020",1.3
10,"Sep 30, 2020",1.06
11,"Jun 30, 2020",0.64
12,"Mar 31, 2020",1.04
13,"Dec 31, 2019",1.04
14,"Sep 30, 2019",1.01
15,"Jun 30, 2019",1.12
16,"Mar 31, 2019",1.07
17,"Dec 31, 2018",0.97
18,"Sep 30, 2018",0.96
19,"Jun 30, 2018",1.08
20,"Mar 31, 2018",1.02
21,"Dec 31, 2017",1.01
22,"Sep 30, 2017",0.99
23,"Jun 30, 2017",1.05
24,"Mar 31, 2017",0.88
25,"Dec 31, 2016",0.88
26,"Sep 30, 2016",0.88
27,"Jun 30, 2016",0.99
28,"Mar 31, 2016",0.76
29,"Dec 31, 2015",0.81
30,"Sep 30, 2015",0.81
31,"Jun 30, 2015",0.86
32,"Mar 31, 2015",0.67
33,"Dec 31, 2014",0.91
34,"Sep 30, 2014",0.84
35,"Jun 30, 2014",0.99
