year,quarter,adjusted_revenue_B
2023,2,
2023,1,41.91968562398123
2022,4,45.23224965211912
2022,3,40.49164277917037
2022,2,41.383312499367214
2022,1,36.591345929100115
2021,4,41.235382529537084
2021,3,39.68608187816704
2021,2,30.03969786084447
2021,1,41.732951785168204
2020,4,42.1104162027688
2020,3,43.95876556016598
2020,2,22.924864641559054
2020,1,40.56850969529085
2019,4,47.1601386910738
2019,3,43.95554551154974
2019,2,46.276824469144195
2019,1,48.41856893336795
2018,4,50.751712991525785
2018,3,45.52963698160744
2018,2,47.12444701951275
2018,1,51.301015571780056
2017,4,51.151834993753134
2017,3,45.058212900951716
2017,2,49.636029678920615
2017,1,48.9949481339289
2016,4,48.84382704032605
2016,3,45.41982479248471
2016,2,49.991097801823926
2016,1,48.32912619891488
2015,4,51.92109607863862
2015,3,48.90565996343693
2015,2,47.63852085585698
2015,1,43.80500976202677
2014,4,46.60860530977973
2014,3,44.760582781234376
2014,2,47.88950248171752
2014,1,46.32939156047788
2013,4,49.18684538444705
2013,3,46.623304049985265
2013,2,49.548330135672195
2013,1,46.72851168305603
2012,4,47.48038802095809
2012,3,42.41598797789177
2012,2,44.155299810875114
2012,1,43.16099537037037
2011,4,45.859908539827714
2011,3,44.4439900127375
2011,2,48.02599113068287
2011,1,45.20649129401656
2010,4,45.14431067757403
2010,3,41.7494495488443
2010,2,49.0912423095451
2010,1,44.25973841042866
2009,4,49.182187877693345
2009,3,42.76377364343956
2009,2,37.92414352806998
2009,1,34.984925461546055
2008,4,39.82433814715451
2008,3,44.27771239081647
2008,2,57.30859356077051
2008,1,61.85684598741149
2007,4,61.34545063703364
2007,3,60.117404767614744
2007,2,64.78470165873138
2007,1,63.90362932915188
2006,4,60.93108374628344
2006,3,55.78878215869886
2006,2,62.97666298669294
2006,1,62.28926981981981
2005,4,71.71921920731705
2005,3,62.17286514084506
2005,2,70.85744745501286
2005,1,70.87115416451111
2004,4,73.11072201786652
2004,3,62.853418009478666
2004,2,68.95109557195572
2004,1,72.80936221985057
2003,4,79.54686625067824
2003,3,60.52756295896329
2003,2,67.3996909090909
2003,1,67.61427459283388
