year,quarter,total_revenue_B
2023,2,
2023,1,41.47
2022,4,44.0
2022,3,39.39
2022,2,40.19
2022,1,34.48
2021,4,37.68
2021,3,35.68
2021,2,26.75
2021,1,36.23
2020,4,35.95
2020,3,37.5
2020,2,19.37
2020,1,34.32
2019,4,39.72
2019,3,36.99
2019,2,38.85
2019,1,40.34
2018,4,41.79
2018,3,37.67
2018,2,38.92
2018,1,41.96
2017,4,41.33
2017,3,36.45
2017,2,39.85
2017,1,39.15
2016,4,38.65
2016,3,35.94
2016,2,39.49
2016,1,37.72
2015,4,40.25
2015,3,38.14
2015,2,37.26
2015,1,33.9
2014,4,35.87
2014,3,34.92
2014,2,37.41
2014,1,35.88
2013,4,37.57
2013,3,35.78
2013,2,37.92
2013,1,35.65
2012,4,35.73
2012,3,32.17
2012,2,33.21
2012,1,32.45
2011,4,33.92
2011,3,33.05
2011,2,35.53
2011,1,33.11
2010,4,32.43
2010,3,29.89
2010,2,35.07
2010,1,31.57
2009,4,34.81
2009,3,30.27
2009,2,26.81
2009,1,24.39
2008,4,27.44
2008,3,31.75
2008,2,41.1
2008,1,43.29
2007,4,42.23
2007,3,41.08
2007,2,44.24
2007,1,43.01
2006,4,40.3
2006,3,37.1
2006,2,41.88
2006,1,40.79
2005,4,46.26
2005,3,40.51
2005,2,45.17
2005,1,44.9
2004,4,45.6
2004,3,39.12
2004,2,42.87
2004,1,44.72
2003,4,48.05
2003,3,36.74
2003,2,40.58
2003,1,40.82
