year,quarter,total_revenue_B,total_flights
2023,2,,6711681
2023,1,41.474,5950785
2022,4,43.999,5692795
2022,3,39.392,6517588
2022,2,40.19,6650777
2022,1,34.476,5951390
2021,4,37.678,5745995
2021,3,35.683,6489169
2021,2,26.752,6675200
2021,1,36.228,5953073
2020,4,35.952,5878012
2020,3,37.501,6530055
2020,2,19.371,6637607
2020,1,34.32,6020467
2019,4,39.715,5817413
2019,3,36.99,6560612
2019,2,38.853,6763891
2019,1,40.342,6172321
2018,4,41.793,5978077
2018,3,37.666,6796706
2018,2,38.92,6939794
2018,1,41.959,6282775
2017,4,41.326,6153272
2017,3,36.451,6986514
2017,2,39.853,7219650
2017,1,39.146,6529978
2016,4,38.654,6015820
2016,3,35.943,4018023
2016,2,39.485,5617321
2016,1,37.718,5366851
2015,4,40.251,5220747
2015,3,38.144,6473016
2015,2,37.263,6799173
2015,1,33.9,6302059
2014,4,35.87,6069244
2014,3,34.92,6829096
2014,2,37.411,7094930
2014,1,35.876,6378617
2013,4,37.57,6329272
2013,3,35.775,4778529
